,feature_names,feature_weights
0,intrauterin devic,4.830181977279323
1,birth control,4.635176724270287
2,devic iud,3.157337678024553
3,care provid,3.0504003128504427
4,prevent pregnanc,2.072587869902806
5,sexual health,2.0374029654481536
6,don xe,2.00662941289341
7,sexual transmit,1.8585720770205694
8,privaci polici,1.7598377160148138
9,health care,1.5803278639275666
10,diseas control,1.5633027646041637
11,nyour health,1.4886738141788964
12,ndrug supplement,1.4227462305413499
13,http www,1.3510997104739064
14,xc xb,1.244658647952952
15,control method,1.140182693637936
16,nmental health,1.1348709963777401
17,nsymptom checker,1.1301325573599168
18,nsexual transmit,1.0620508869900207
19,xe xa,1.0573299650924655
20,nexercis fit,1.025584336766202
21,nhealthi live,0.9758280621392553
22,src http,0.9373887222286053
23,nemerg contracept,0.9212594048496506
24,make sure,0.8689187615152917
25,medic advic,0.8418320838180168
26,ni agre,0.7521331039178087
27,height width,0.7010057369235609
28,nbirth control,0.6966143614982806
29,inform provid,0.6889310652018084
30,health topic,0.6670775229558388
31,involv nget,0.6517306428967476
32,nprivaci polici,0.6464894088980967
33,nterm use,0.5850203633616251
34,condit privaci,0.5570436699552603
35,nhow rid,0.5556841977616984
36,center diseas,0.5174401607474018
37,thi websit,0.4574528484261034
38,nget involv,0.449275429825615
39,nsexual health,0.3750016889545248
40,use thi,0.3581518390025234
41,ani time,0.35717413205938636
42,health center,0.35279543078896264
43,xe health,0.3112138490128085
44,facebook com,0.2990764260783268
45,www facebook,0.2990764260783268
46,xc xa,0.2939741325540695
47,style display,0.2873562556257409
48,thi site,0.27820690632793954
49,transmit diseas,0.2759551807195595
50,xa xc,0.25666928776659426
51,width style,0.255023483414055
52,inform nabout,0.2532716592032657
53,long term,0.24320025097023454
54,control prevent,0.23809335667411372
55,transmit infect,0.2360064720022635
56,xb ol,0.22724179666825228
57,unit state,0.2198828905714664
58,site search,0.21969153714266856
59,com tr,0.18610664869560672
60,img height,0.18610664869560672
61,pageview noscript,0.18610664869560672
62,ev pageview,0.18610664869560672
63,id ev,0.18610664869560672
64,tr id,0.18610664869560672
65,reproduct health,0.17131419844604368
66,nsearch nsearch,0.17106226590890153
67,term condit,0.13185513810910984
68,xa xe,0.11949233413720356
69,nsrc http,0.11846132288965794
70,websit privaci,0.11614001788950067
71,nespa xc,0.10642075362191075
72,ncopyright xc,0.08160614539574469
73,display nsrc,0.06667701397012052
74,ndiseas condit,0.04130814378196092
75,right reserv,0.022265872426780367
