,feature_names,feature_weights
0,birth control,3.0906625319907066
1,office locations,2.119623860777096
2,n1 n1,1.6277085871370027
3,xe2 x80,1.4248670012736133
4,form birth,0.9171577357285953
5,office location,0.891984772931563
6,x80 x99t,0.8872576418939846
7,covid 19,0.8710367966057447
8,control shot,0.8007587905950495
9,provider directory,0.7830182447642513
10,device iud,0.7478534582093758
11,contraceptive use,0.73847531734589
12,compartment syndrome,0.7369420111539768
13,contraceptive implant,0.7166286632207084
14,peripheral neuropathy,0.7117331016232614
15,depo provera,0.7079592800253105
16,inflammatory disease,0.6915838731150297
17,mayo clinic,0.6908202044020371
18,sexual health,0.6648941317030568
19,intrauterine device,0.6604304281571753
20,uterine bleeding,0.6544929280319427
21,proxy server,0.625583440949342
22,provera injectable,0.6235084877863476
23,xc2 xae,0.6098685163253631
24,care provider,0.6051144958400801
25,pelvic inflammatory,0.6010067099695555
26,family planning,0.599525869049048
27,x80 x9d,0.5931176784853687
28,nfind symptom,0.587501466033146
29,hormonal iuds,0.5789945873226753
30,prevent pregnancy,0.5631683398948204
31,symptom begins,0.561957924031705
32,begins letter,0.561957924031705
33,female condoms,0.560870440935806
34,brain tumors,0.5541596318977228
35,heel spurs,0.5478999026881601
36,tubal ligation,0.5404906562728945
37,control pills,0.5378862824208243
38,fallopian tubes,0.5343256561863714
39,abnormal uterine,0.5216493652740313
40,iud paragard,0.49537765721424537
41,iud inserted,0.49508804207963003
42,cruz ca,0.49234018247654454
43,contraceptive methods,0.4883372038138292
44,xc2 xa0,0.4824067787726199
45,sterilization tubal,0.48224822065163936
46,intrauterine devices,0.4822050706740539
47,emergency contraception,0.4745148570052655
48,planned parenthood,0.47183163746750845
49,rd ste,0.4565175608068972
50,xc3 xb3n,0.45196594413032487
51,use diaphragm,0.45106533834477597
52,cervical cancer,0.4507992196602703
53,contraceptive device,0.4405493823986725
54,article birth,0.4399796201055898
55,general newsletter,0.43963489084300494
56,keeps date,0.43963489084300494
57,newsletter nsubscribe,0.43963489084300494
58,nfree newsletter,0.43963489084300494
59,topics nsign,0.43963489084300494
60,nour general,0.43963489084300494
61,nsubscribe housecall,0.43963489084300494
62,newsletter keeps,0.43963489084300494
63,housecall nour,0.43963489084300494
64,date wide,0.43963489084300494
65,iud insertion,0.43601920350074264
66,greater new,0.4360187883489461
67,parenthood greater,0.4360187883489461
68,care providers,0.43555279981190254
69,nfrn archive,0.43321184972796717
70,n2 n2,0.43320514403659505
71,pearl study,0.4298327684800306
72,brain tumor,0.4287956787384062
73,cu iud,0.42845629395602536
74,guidance health,0.42108776036513634
75,increased risk,0.4208953534464072
76,iud img,0.4158384699604471
77,websiteiud nreader,0.4158384699604471
78,nsearch websiteiud,0.4158384699604471
79,variety health,0.41149819203037924
80,larc condoms,0.4080100639619893
81,blood pressure,0.40402340553633004
82,child xe2,0.4009436378946085
83,right away,0.4002724650668803
84,nmayo clinic,0.3991225185307873
85,don xe2,0.3984987590955743
86,eligibility criteria,0.3961254157393813
87,nback planned,0.393760429998963
88,high blood,0.39295545206037874
89,dual use,0.39124033529712826
90,nbirth control,0.38946303477663774
91,wide variety,0.38919665332180975
92,body donation,0.38689338370280657
93,woman xe2,0.3865991077640738
94,female condom,0.38367659647831936
95,copper iud,0.382543238902813
96,settings xe2,0.3795291057145782
97,inserted uterus,0.37813187726217407
98,new york,0.37696124059132213
99,parenthood generation,0.3741459417830228
100,generation action,0.3741459417830228
101,medical eligibility,0.3729983171097051
102,iuds nwhat,0.3686393146641722
103,contraceptive guidance,0.3675623637337304
104,use 2016,0.3674142526243118
105,condom month,0.3661818095877514
106,iud use,0.36575788858086894
107,online services,0.36456666137891075
108,use larc,0.36443931194589935
109,sexually transmitted,0.36016334219750573
110,practice recommendations,0.350679889893696
111,control options,0.3499056995409451
112,ndepo provera,0.34871011932009305
113,lng iud,0.34803936965324195
114,criteria contraceptive,0.34801154659046823
115,menstrual bleeding,0.3458673746200373
116,abnormal bleeding,0.3452632662446503
117,rheumatoid arthritis,0.3429766710165366
118,increase risk,0.3411046995665476
119,menstrual cycle,0.3397922577816251
120,primary care,0.3393820496637844
121,doctor right,0.33612885781450913
122,recommendations contraceptive,0.3349808930694366
123,nvasectomy nwithdrawal,0.3330559736710219
124,nsponge nsterilization,0.3330559736710219
125,nspermicide nsponge,0.3330559736710219
126,nsterilization nvasectomy,0.3330559736710219
127,npatient resources,0.33263247140013524
128,dr ste,0.3322098216918054
129,doesn xe2,0.3314249837660045
130,symptoms signs,0.32860811738827816
131,parenthood mar,0.32794546891357723
132,mar monte,0.32794546891357723
133,control methods,0.3278071217074456
134,nappendix management,0.3259543258303807
135,prevent stis,0.322377283073876
136,x80 xa6,0.32192996100287713
137,does birth,0.3212008025387921
138,n1 n2,0.3201384460130372
139,caresee doctor,0.31823205086378725
140,nself caresee,0.31823205086378725
141,doctor nstart,0.31823205086378725
142,los cdc,0.3169495741660094
143,access network,0.312791720474671
144,use proxy,0.312791720474671
145,proxy settings,0.312791720474671
146,larc methods,0.31087969888015876
147,ectopic pregnancy,0.3101476160852006
148,nbook appointment,0.3097279144161763
149,getting pregnant,0.3070960791026168
150,pdf icon,0.30588930313213325
