,feature_names,feature_weights
0,birth control,3.0859643318050907
1,offic locat,2.130529321022168
2,ca offic,1.3441250586290194
3,femal condom,0.9630088281056777
4,form birth,0.9548953168336277
5,intrauterin devic,0.9377583449849692
6,prevent pregnanc,0.9259522346568075
7,contracept use,0.8262866552493519
8,devic iud,0.8261533471377913
9,care provid,0.8179020473719456
10,contracept implant,0.8068232120041565
11,increas risk,0.7911913742919292
12,contracept method,0.7888481778878508
13,hormon iud,0.7857495071043338
14,brain tumor,0.7851304479749268
15,control shot,0.7790112790608694
16,iud insert,0.7657686378076428
17,compart syndrom,0.7341540531925626
18,depo provera,0.7130582439374639
19,peripher neuropathi,0.704665456343863
20,mayo clinic,0.6822988893696285
21,inflammatori diseas,0.6706369745736334
22,uterin bleed,0.662686962016745
23,heel spur,0.6477762510449294
24,famili plan,0.6279290939837302
25,control pill,0.6249342904902129
26,proxi server,0.6217309457307258
27,symptom begin,0.619876085022772
28,pelvic inflammatori,0.6156526485771235
29,sexual health,0.611462956040362
30,provera inject,0.6066410786747722
31,begin letter,0.59691771150341
32,emerg contracept,0.5890667333141167
33,fallopian tube,0.5851679494718758
34,xc xae,0.5825077383592503
35,ok offic,0.581413310523129
36,hormon contracept,0.5707135399071208
37,xe xa,0.5671337980227454
38,provid directori,0.5539376234657639
39,cu iud,0.5411042940394918
40,tubal ligat,0.5310342875095334
41,abnorm uterin,0.5296295908501307
42,nfind symptom,0.5280425909453244
43,ga offic,0.5276484396514193
44,plan parenthood,0.5107458960420358
45,use condom,0.5093732491459941
46,women use,0.5039304974252489
47,xc xa,0.4972529010996992
48,iud paragard,0.4969880934385824
49,iud implant,0.48382134485069345
50,steril tubal,0.47635092252318834
51,contracept devic,0.4733930087412748
52,larc method,0.4677406661998363
53,use proxi,0.4662982092980444
54,articl birth,0.4583601731816882
55,thyroid hormon,0.45495294555365967
56,copper iud,0.4545216918509129
57,iud nwhat,0.45428648616288364
58,use diaphragm,0.4504190464552153
59,guidanc health,0.446701675035975
60,nsubscrib housecal,0.4448242120948684
61,newslett nsubscrib,0.4448242120948684
62,newslett date,0.4448242120948684
63,topic nsign,0.4448242120948684
64,gener newslett,0.4448242120948684
65,nour gener,0.4448242120948684
66,date wide,0.4448242120948684
67,nfree newslett,0.4448242120948684
68,housecal nour,0.4448242120948684
69,iud use,0.44295359711162424
70,don xe,0.4394775779976704
71,parenthood greater,0.43810881661172374
72,greater new,0.43810881661172374
73,pearl studi,0.4349676103714103
74,dual use,0.43426411980850005
75,onli birth,0.43278885187394234
76,nfrn archiv,0.4235637823739125
77,lng iud,0.41834181964450823
78,cervic cancer,0.4175147597640198
79,varieti health,0.4166074024699615
80,niniti ncontinu,0.41265847427437446
81,iud img,0.40780789392534333
82,websiteiud nreader,0.40780789392534333
83,thi websiteiud,0.40780789392534333
84,high blood,0.40666324488267686
85,blood pressur,0.40474826302422806
86,associ increas,0.402544118651111
87,condom month,0.40221755646230706
88,elig criteria,0.4005519672472912
89,larc condom,0.39879785477450813
90,new york,0.39592055446099694
91,woman xe,0.39575558140749734
92,wide varieti,0.39464055092482225
93,lo cdc,0.3941405696476388
94,sexual transmit,0.39405810167948896
95,contracept guidanc,0.39314405237667427
96,right away,0.3894869295586714
97,doesn xe,0.3867194198263132
98,nback plan,0.3855346785940458
99,archiv nfrn,0.3850579839762841
100,insert uteru,0.38363148934747116
101,thi medicin,0.3799519530468354
102,result pregnanc,0.3799017447254439
103,health event,0.379756453794211
104,oral contracept,0.3796957116095156
105,set xe,0.37882237132658214
106,control method,0.37827240529380923
107,control option,0.37704683697286295
108,nmayo clinic,0.37621445662004843
109,advers health,0.3759353262181428
110,bodi donat,0.37464516506342943
111,event result,0.3721605655085777
112,pregnanc box,0.3721605655085777
113,intrauterin contracept,0.37183792845461855
114,becom pregnant,0.37116912767178417
115,risk advers,0.36872382957648214
116,use iud,0.3662540910826201
117,medic elig,0.3657215587356421
118,nbirth control,0.3652574618412354
119,parenthood gener,0.3632845140812452
120,gener action,0.3632845140812452
121,method birth,0.3628826184262542
122,rd ste,0.36226112421846207
123,use larc,0.3614857501922195
124,practic recommend,0.36129926854216415
125,failur rate,0.35470307475176927
126,male condom,0.35215932438167163
127,xe protect,0.3485365725905929
128,abnorm bleed,0.3469210764990835
129,recommend contracept,0.3467607195396473
130,ndepo provera,0.34635122619035585
131,obes women,0.3455435107435977
132,ectop pregnanc,0.344970369205821
133,protect pregnanc,0.34296909701803124
134,criteria contracept,0.34294237596081795
135,use contracept,0.3405555377611561
136,fertil egg,0.33947038533436846
137,menstrual cycl,0.3380900045833041
138,primari care,0.3356844047338547
139,rheumatoid arthriti,0.3336521491318512
140,xc xb,0.3317995921927937
141,child xe,0.3307109507290882
142,nspermicid nspong,0.33055490946281435
143,nspong nsteril,0.33055490946281435
144,nsteril nvasectomi,0.33055490946281435
145,nvasectomi nwithdraw,0.33055490946281435
146,doe birth,0.32806872980989266
147,doctor right,0.32684512583454506
148,young women,0.3262664348916651
149,menstrual bleed,0.3247415824676046
150,cruz ca,0.32246329706916876
151,npatient resourc,0.3224207959778498
152,protect std,0.3222882300630212
153,prevent sti,0.31855542780777957
154,pregnanc prevent,0.3169997056067279
155,iud remov,0.31415076053323515
156,restrict florida,0.3122020134871549
157,visitor restrict,0.3122020134871549
158,symptom sign,0.31138752420979987
159,access network,0.3108654728653629
160,proxi set,0.3108654728653629
161,caus pid,0.3098742833081055
162,doctor nstart,0.30866477068838044
