,feature_names,feature_weights
0,birth control,5.2869978457398386
1,intrauterine device,2.4347693065851312
2,form birth,1.6747068645296825
3,contraceptive methods,1.6655707764810819
4,inflammatory disease,1.6624715519441686
5,x80 x99t,1.639961303409881
6,increased risk,1.612191559837639
7,intrauterine devices,1.605762465975865
8,sexual health,1.5759532029432184
9,pelvic inflammatory,1.5496572352085192
10,mayo clinic,1.470819190912086
11,care providers,1.4674326838932041
12,device iud,1.4363801693615894
13,fallopian tubes,1.3873247711698315
14,xe2 x80,1.3554766871080473
15,family planning,1.3551613288396005
16,symptoms include,1.3490052676046582
17,planned parenthood,1.2737930258954762
18,signs symptoms,1.2722048722187465
19,href https,1.1813740506883827
20,iud inserted,1.1605065098508005
21,nmayo clinic,1.1251992518634224
22,prevent pregnancy,1.0819726204622677
23,right away,1.0616253105510154
24,x80 x9d,1.0201093438723827
25,x80 xa6,0.9812359240358318
26,control methods,0.9710569385865944
27,nshare story,0.9597132491388183
28,emergency contraception,0.938454923599641
29,control pills,0.896943876573455
30,devices iuds,0.866129674481233
31,nintrauterine devices,0.8105504049618594
32,menstrual cycle,0.7967304871400025
33,women using,0.7772463076188354
34,don xe2,0.7755179337058834
35,care health,0.7748676657762621
36,chronic disease,0.7580787773269377
37,inserted uterus,0.757444257599139
38,fertilized egg,0.7525385320200043
39,x80 x99s,0.7510376232333603
40,ntests procedures,0.7458463199437786
41,nbarrier methods,0.7452424297001403
42,sexually transmitted,0.742489824366679
43,nbirth control,0.7391551731023429
44,ectopic pregnancy,0.7348477738752703
45,public health,0.7263986867193848
46,nbook appointment,0.686158230037494
47,health association,0.6502674314357999
48,getting pregnant,0.6492722480207025
49,high blood,0.6475549112441612
50,doesn xe2,0.631180878186267
51,x99s health,0.6036895696037285
52,privacy policy,0.6027073230092695
53,talk doctor,0.5992946382589285
54,methods birth,0.5976226381291264
55,control nbirth,0.5928826991033143
56,xc2 xa0,0.5781097869798502
57,woman xe2,0.5705581205806527
58,make sure,0.5635155238777387
59,230 7526,0.5612497320358752
60,search n1,0.5612497320358752
61,appointment nzip,0.5612497320358752
62,vaginal discharge,0.5575030188690252
63,american sexual,0.5557915152336405
64,x80 x93,0.5290296239281398
65,online services,0.5263182797234478
