,feature_names,feature_weights
0,iud,3.2258545830754466
1,birth,2.6060183891692463
2,contraceptive,2.573495558116666
3,birth control,2.4372439665016334
4,office,2.056524656241421
5,women,1.864626267950826
6,condoms,1.684362875370873
7,control,1.6115666052685689
8,use,1.5984157118128435
9,n1,1.4753487844408164
10,intrauterine,1.257466318032362
11,device,1.2094043493470235
12,iuds,1.177546612356825
13,pelvic,1.1695768490212706
14,nlearn,1.1482230584009365
15,sexual health,1.136630578887481
16,provider,1.1156019962256258
17,location,1.1155186334699818
18,uterus,1.1103585225173898
19,pregnancy,1.0917579883134039
20,bleeding,1.0809895363635174
21,symptoms,1.0325743360396946
22,syndrome,1.013946707631825
23,information,0.9999007295028972
24,contraception,0.9955861241904936
25,methods,0.9707987016215833
26,condom,0.9254715104370067
27,research,0.9203821883976815
28,sexual,0.9178506435790615
29,disease,0.9082431578957969
30,female,0.9070037816046405
31,cancer,0.8895033542495081
32,blood,0.8866412625226495
33,hormonal,0.8783935311700399
34,using,0.8686569863335001
35,npatient,0.8656383994318977
36,cdc,0.855591277468983
37,sterilization,0.8439441948942868
38,periods,0.841252967840454
39,problems,0.8407371546738973
40,inserted,0.812958453137886
41,form birth,0.8034911185936827
42,19,0.8013147596646487
43,xc3,0.7864546346055546
44,directory,0.7789108536090432
45,action,0.7651178933257315
46,treatment,0.7568076048754159
47,pregnant,0.7404326588095351
48,settings,0.7325853950917227
49,causes,0.7232022635533708
50,x80 x99t,0.7194093556917475
51,x99t,0.7194093556917475
52,inflammatory disease,0.7116206477849613
53,mayo,0.7061320762140403
54,sex,0.6960278983150838
55,effective,0.6903165639214098
56,risk,0.6877777732506608
57,hpv,0.6689700093081656
58,brain,0.6634065469233645
59,people,0.6553442731417389
60,woman,0.6497321947083023
61,symptom,0.6488484050486161
62,pills,0.6375774908222355
63,questions,0.6357993225482761
64,ngo,0.6330862668403031
65,stis,0.6300253848405887
66,menstrual,0.6281737566027024
67,xc2,0.6207057197017176
68,care,0.6197606868093443
69,coronavirus,0.6179405601952858
70,mayo clinic,0.6177033382998927
71,device iud,0.6131820257865999
72,body,0.5931599247004159
73,help,0.5843919235889772
74,uterine,0.5788807023614851
75,inflammatory,0.5781001218889052
76,nabortion,0.5714707193891695
77,healthy,0.5682041453825368
78,chronic,0.5658216846831581
79,education,0.565194299142062
80,intrauterine device,0.5583345012300713
81,nfind,0.5547397568249988
82,medications,0.5459796429049494
83,method,0.5459608544333505
84,american,0.5378129886220545
85,nif,0.5340969237810111
86,nget,0.5324531975529881
87,recommendations,0.521083603403561
88,search,0.5194189294250571
89,sperm,0.5184554788698569
90,x80 x9d,0.5158581552213816
91,x9d,0.5158581552213816
92,ntake,0.5147753876486647
93,needs,0.5108759606340932
94,years,0.5060295545374326
95,website,0.5058738116003499
96,know,0.5044118838652115
97,vaginal,0.49698188519358166
98,cervical,0.49689323686905407
99,safety,0.496448239740132
100,xa6,0.496043774377205
101,x80 xa6,0.496043774377205
102,program,0.4956506073941783
103,hormone,0.49468169052411765
104,form,0.49054633559802036
105,month,0.48828089471498076
106,2019,0.4843415041509329
107,https,0.4843101199907959
108,heart,0.4835152851324682
109,parenthood,0.4834465952772157
110,abortion,0.4783592211451362
111,insertion,0.47481202417142865
112,virus,0.4732812268231504
113,egg,0.47233673427698486
114,does,0.47026146609535746
115,male,0.4663648301952854
116,nhealth,0.4614442639930195
117,person,0.4610496996766242
118,association,0.45861917659430196
119,copper,0.4557822390090538
120,planned,0.45317076733868084
121,getting,0.45254537303557235
122,cycle,0.4491188800396819
123,partner,0.44089420308158306
124,programs,0.4405061293241974
125,planned parenthood,0.4359842669588235
126,away,0.4352900242979067
127,special,0.43426800211635913
128,ncdc,0.4339371481653479
129,pain,0.43044154192937145
130,contraceptive methods,0.42407761909433905
131,life,0.4239019129565
132,x80 x99s,0.42374850669203445
133,x99s,0.42374850669203445
134,pill,0.4220330674536028
135,nthis,0.42043935488036854
136,nthe,0.4190523894361601
137,weight,0.4187898978038492
138,city,0.4183128081323217
139,local,0.4129170792075474
140,increase,0.41057642197849464
141,pressure,0.40944617467166455
142,providers,0.4093829740368042
143,receive,0.4040845104001597
144,news,0.4029765904944836
145,don,0.40017743371756476
146,period,0.39331889271564036
147,iud inserted,0.385494513000323
148,study,0.38326279678522196
149,ask,0.3828116525157655
150,option,0.38042001523833785
151,nmayo,0.377170319405384
152,nmayo clinic,0.377170319405384
153,asha,0.3734459454643975
154,provide,0.37294630358997505
155,variety,0.37234317774430314
156,patients,0.37051705046540495
157,test,0.367586242232697
158,sure,0.363732526312293
159,patient care,0.3621044592821927
160,drugs,0.36040153423528726
161,xe2,0.3592715295497935
162,nintrauterine,0.3592119548317296
163,treatments,0.356495268827508
164,nour,0.3557991962654433
165,nwhat,0.3544698681834531
166,online,0.35392656772958736
167,prevent pregnancy,0.35382485503097
168,nyour,0.3506791059384141
169,appointment,0.3487387083679562
170,physical,0.3483744375029075
171,gov,0.34491864128834343
172,aids,0.33929956432821096
173,cervix,0.33788198766882543
174,progestin,0.33635085987189783
175,care health,0.3357416298171596
176,collection,0.33262967523266607
177,days,0.330147949248182
178,signs,0.32752088987423994
179,injury,0.3261754261089722
180,doesn,0.3255242134580971
181,section,0.32455858121206843
182,removed,0.32115626440398676
183,include,0.31957960948055514
184,doctor,0.31781361283744125
185,npregnancy,0.3157363848584876
186,type,0.3147048750361617
187,treated,0.31433530759627526
188,millions,0.3130736115609561
189,don xe2,0.3100902171959606
190,couldn,0.3059127726447444
191,worldwide,0.3052699825368077
192,right,0.3050523170727134
193,hours,0.3032985687127787
194,md,0.3025396142466358
195,plastic,0.30183922696943194
196,skin,0.30175109942923267
197,xd8,0.30046222058691024
198,results,0.2998418378131426
199,nself,0.2991823858667013
200,diseases,0.29663840453495116
201,nhave,0.2952382728554318
202,medication,0.29516503776791103
203,removal,0.29362514075427193
204,nto,0.293080359339118
205,donor,0.2922204352435612
206,parents,0.2913000657236406
207,vital,0.29122568910683944
208,nread,0.28992783059468913
209,ncontact,0.2869172278491879
210,ndonate,0.2842355069441011
211,xbb,0.28316498109352506
212,nsexual,0.2823496114447279
213,american sexual,0.27900087451780947
214,staff,0.2780755440178764
215,devices,0.27735304655304566
216,materials,0.27630204685628523
217,educators,0.2757675387872262
218,narthritis,0.27441214079063003
219,x80 x93,0.2740914847419095
220,x93,0.2740914847419095
221,100,0.2725917805503745
222,st,0.27258043264158216
223,x80,0.2724520177559635
224,xe2 x80,0.2724520177559635
225,likely,0.27242552740644466
226,services,0.2715676729592822
227,start,0.2713849557626374
228,prevention,0.26926050006366514
229,profile,0.2674152995615645
230,country,0.2664207258141607
231,public,0.26331975628964344
232,nemail,0.2627473647986112
233,woman xe2,0.26260903203252023
234,family,0.2616585693647801
235,story,0.2615596119117769
236,national,0.2607414812300759
237,place,0.25979098425369807
238,x99s health,0.2596766522257479
239,infections,0.2596019827852369
240,early,0.25852721874112333
241,having,0.25796688861149747
242,diet,0.257243455491941
243,global,0.254014998627874
244,sponsorship,0.2536768021211998
245,nsearch,0.2533425142042177
246,prevents,0.2526921196560368
247,privacy policy,0.2521011494735504
248,style,0.2508545202583056
249,2017,0.2504834453319351
250,physicians,0.2500273175152076
251,disease control,0.24967606984450932
252,article,0.24840501854974378
253,important,0.2476791171221021
254,privacy,0.24625644059022442
255,affect,0.24615895035045499
256,personal,0.24569395693468563
257,nfor,0.24382592572429132
258,ncancer,0.2416562318176491
259,web,0.2413405757175203
260,health center,0.2408491308993917
261,example,0.24081753598532557
262,cell,0.23977743891869974
263,foundation,0.23876076693440285
