,feature_names,feature_weights
0,iud,3.459378750607508
1,contracept,2.80349601897444
2,birth,2.1765433761766824
3,birth control,2.0768942845624174
4,condom,1.9953152097692661
5,locat,1.8912278789741381
6,use,1.6945783481782777
7,women,1.649458445894975
8,offic,1.4583324975065028
9,control,1.4210129821165425
10,shot,1.3662281822773217
11,implant,1.1585980982724517
12,symptom,1.1483466058418839
13,method,1.1327700416842412
14,intrauterin,1.0779832778386154
15,bleed,1.0767787292437596
16,diaphragm,1.0743821806913185
17,ncheck,1.067688700506632
18,devic,1.064661894285886
19,pregnanc,1.028334652498682
20,insert,1.0163488998002703
21,pelvic,1.010300143507724
22,sexual health,0.9411023505852814
23,uteru,0.9368917210102726
24,provera,0.9327032948321892
25,hormon,0.8897107942455948
26,syndrom,0.8802170643466661
27,newslett,0.873555132126406
28,nlearn,0.8649041636437772
29,problem,0.86303384320175
30,diseas,0.8601818437444375
31,inform,0.8563936709056866
32,period,0.8508883631818073
33,contracept use,0.8258448363492438
34,cdc,0.8178570380122913
35,treatment,0.7953835472375157
36,member,0.7845593225821049
37,pill,0.7796529067545674
38,femal,0.7677051349822968
39,cancer,0.7604999303198214
40,inflamm,0.7388488276369419
41,educ,0.7262387683573649
42,blood,0.7225327511420772
43,xe,0.7197421079582281
44,mirena,0.7147498529191437
45,form birth,0.712637899720104
46,intrauterin devic,0.7077354614558918
47,steril,0.6856919827604515
48,sex,0.6832841255721899
49,directori,0.6821727327385937
50,mayo,0.680783995008913
51,program,0.6768681613550254
52,research,0.6722567341557878
53,care provid,0.6709402148073497
54,risk,0.6616402576189929
55,action,0.647553514489785
56,increas risk,0.6447654700630316
57,sti,0.6363303652629024
58,vaccin,0.6333967653389112
59,pregnant,0.6281999860306764
60,child,0.6195974831346565
61,inflammatori diseas,0.6191971010359432
62,tube,0.619129740986524
63,uterin,0.6165611468539979
64,fallopian,0.6039607642960801
65,devic iud,0.6037792185155468
66,greater,0.602190878552151
67,vagina,0.5889883284437426
68,american,0.5882410902957108
69,nnation,0.5880983440566507
70,mayo clinic,0.5861942415823299
71,hpv,0.5844358397724733
72,contracept method,0.5810155323016098
73,famili plan,0.57865197335691
74,menstrual,0.5724989470114668
75,provid,0.5713641838282463
76,tumor,0.5654977552442713
77,woman,0.5643246182867598
78,fallopian tube,0.5628480918549019
79,diabet,0.5588087593500358
80,xe xa,0.5463784988423146
81,xa,0.5407445269543043
82,effect,0.534902988763801
83,guidanc,0.526793634261568
84,increas,0.5266789757453527
85,peopl,0.5219677322898876
86,inflammatori,0.5214632371926231
87,npatient,0.5182176507251649
88,ngo,0.5137970958270063
89,question,0.5137569505040704
90,care,0.5129741733615583
91,tubal,0.5101112104765547
92,pelvic inflammatori,0.5097596270143976
93,coronaviru,0.5077405795848521
94,sexual,0.49985478396262983
95,recommend,0.4766557754933382
96,healthi,0.47596582068578397
97,person,0.47417188160418466
98,niud,0.4702450989142224
99,heart,0.47011086410226044
100,help,0.4661566043020239
101,plan parenthood,0.46615145816491693
102,nif,0.46330083821439777
103,month,0.46303089935226005
104,chronic,0.46206479846017795
105,prevent pregnanc,0.45910699353982354
106,nfree,0.45805437693661116
107,nfind,0.4575094921067523
108,criteria,0.4563004138129246
109,control pill,0.4444381653196987
110,bodi,0.4367442344064836
111,begin,0.43581166134544097
112,caus,0.4275200839832459
113,brain,0.42722531161605937
114,xc xb,0.42669732445570774
115,sign,0.42360188664541926
116,wide,0.4227715306546311
117,collect,0.42158374919887515
118,xb,0.42079333954189274
119,parenthood,0.41963854998010947
120,viru,0.4168289976476785
121,right away,0.4160365992059299
