,feature_names,feature_weights
0,iud,3.059003893089373
1,contracept,2.2261371603827476
2,birth,1.8013019470044778
3,birth control,1.7225101759506378
4,offic locat,1.5232857816663725
5,condom,1.4897957090133735
6,women,1.4622091848107723
7,ca,1.3257576393632937
8,use,1.3199393931875005
9,pid,1.2944633994265815
10,control,1.277332227592645
11,shot,1.0911190735144838
12,method,1.0269218998939669
13,implant,1.004273357871864
14,larc,0.9912362342694027
15,locat,0.9329161176612674
16,ca offic,0.9295532642667107
17,pregnanc,0.9214727458540763
18,devic,0.8871378777440779
19,bleed,0.8824701074367044
20,insert,0.8815312365250679
21,diaphragm,0.8705064949809094
22,xe,0.855893701112603
23,ste,0.8409577164933364
24,hormon,0.8114032516656111
25,proxi,0.8001273781408216
26,intrauterin,0.793117190255569
27,provera,0.7240902150777159
28,symptom,0.711655260948031
29,uteru,0.6978093286411616
30,pill,0.6964981109436281
31,biopsi,0.6757994913979356
32,nlearn,0.6604197017658106
33,paragard,0.6570304089959067
34,offic,0.6487934145728991
35,newslett,0.6138061171952258
36,pelvic,0.609487051284364
37,effect,0.603172662864329
38,period,0.6000147507172391
39,covid,0.5967576716138738
40,arthriti,0.5907021462140823
41,femal,0.5831012366271412
42,mirena,0.5823993992054723
43,ga,0.5755149825273222
44,steril,0.5720628391286744
45,risk,0.5664460411077757
46,circumcis,0.5596553721006042
47,server,0.5585266595363113
48,control shot,0.5556377729364661
49,form birth,0.5540835310458415
50,xa,0.5234299450086579
51,cancer,0.521962031203431
52,problem,0.5178301252377457
53,educ,0.5147664036072186
54,treatment,0.5135158990307785
55,intrauterin devic,0.5121491907780846
56,inform,0.5102691416172939
57,melatonin,0.5098381816638228
58,contracept use,0.5060071897225681
59,sex,0.5059170271241674
60,femal condom,0.504260228924993
61,woman,0.4970146136837378
62,blood,0.49140453644586723
63,pregnant,0.488140143374515
64,mec,0.48626800354342886
65,sexual health,0.4816477558125419
66,militari,0.47809810608270653
67,neuropathi,0.47581395791465364
68,syndrom,0.4747266069526482
69,corticosteroid,0.471900139666348
70,uterin,0.47144214726658246
71,care provid,0.4659600745563643
72,contracept implant,0.46422894897144956
73,autopsi,0.46321448313169944
74,compart,0.4624039076111385
75,proxi server,0.45721564465189807
76,ok offic,0.45680370160644745
77,increas risk,0.4562914581227364
78,devic iud,0.44954761159419115
79,ncheck,0.4471707744396597
80,prevent pregnanc,0.44379110028706953
81,symptom begin,0.44263552524680294
82,menstrual,0.4410497605075442
83,thyroid,0.44037635022112753
84,labyrinth,0.43950160342514794
85,gift,0.437417991404007
86,depo,0.4363901481985186
87,member,0.4363027279347363
88,nback,0.43294709152033
89,child,0.4315263519899907
90,contracept method,0.4292394656187877
91,greater new,0.42830008653733703
92,parenthood greater,0.42830008653733703
93,begin letter,0.42624161690432866
94,ok,0.42034706413188216
95,uterin bleed,0.41794744904115627
96,prediabet,0.41761817357599057
97,npatient,0.41386689337804583
98,spur,0.41286537752048985
99,depo provera,0.41235919357807804
100,tubal,0.4065574402281681
101,brain tumor,0.40589252822976885
102,nmirena,0.4044584022688827
