,feature_names,feature_weights
0,iud,2.528672963323455
1,birth,1.8710346809468188
2,birth control,1.7648078819113409
3,contraceptive,1.673332134268482
4,ca,1.5220363675052568
5,women,1.5124250537499946
6,control,1.2887425316401326
7,pid,1.2651475576679387
8,n1 n1,1.2042657410675588
9,office locations,1.164518536466009
10,shot,1.0759491209007341
11,iuds,1.0407363798550984
12,condoms,0.9879273776625607
13,use,0.9869999011432999
14,larc,0.9573435998871669
15,n1,0.9295834644217599
16,office,0.9069536190548205
17,locations,0.9000500388371836
18,ste,0.8963405552889209
19,bleeding,0.8869647627679726
20,device,0.8825610209764461
21,pregnancy,0.8735130459040751
22,diaphragm,0.8518411198190727
23,implant,0.8512654622137763
24,intrauterine,0.8143905277312048
25,proxy,0.774281117161156
26,contraception,0.7391694350123359
27,methods,0.7384134662302542
28,provera,0.7337683514151719
29,uterus,0.7331703280450109
30,xe2,0.7158676491719889
31,paragard,0.712838052079274
32,condom,0.6896309472316108
33,hormonal,0.6627842269155629
34,x80,0.6577220104828593
35,xe2 x80,0.6577220104828593
36,nlearn,0.6552175342823162
37,symptoms,0.6443982471500309
38,ga,0.6382957175605526
39,arthritis,0.6366519960128069
40,mirena,0.6334927005997668
41,provider,0.6125735188082516
42,pelvic,0.6072701498657388
43,sterilization,0.5962029846928828
44,female,0.5955479337395848
45,biopsy,0.5938457669033456
46,n2,0.5762184733013521
47,inserted,0.5623325502802377
48,newsletter,0.5501000502817964
49,control shot,0.5493436425161636
50,covid,0.5436611472413164
51,covid 19,0.5436611472413164
52,server,0.5383870732602427
53,form birth,0.5369872005268347
54,woman,0.5276215029516044
55,cancer,0.5252121494261218
56,periods,0.520411616055329
57,child,0.5201702201563323
58,sex,0.5193252535698422
59,blood,0.5177032884470423
60,location,0.516582781173011
61,x99t,0.5158583961478518
62,x80 x99t,0.5158583961478518
63,melatonin,0.5131560494623641
64,using,0.5065098690955012
65,effective,0.5056844957155557
66,method,0.5045341943835387
67,neuropathy,0.5038571287694112
68,sexual health,0.5012068587154561
69,pregnant,0.5006473900547798
70,risk,0.5003707424851348
71,npatient,0.5000604913819446
72,xc2,0.49337456526854223
73,syndrome,0.4910731628189765
74,ok,0.4901453523926671
75,pills,0.48996186857691193
76,heel,0.4894256908403764
77,information,0.48621259813799084
78,military,0.4802112527595503
79,mec,0.4771520519172122
80,contraceptive use,0.4767945472985077
81,compartment,0.4669601582742098
82,office location,0.4648842867293034
83,research,0.45897865093729423
84,uterine,0.45214555245131693
85,menstrual,0.4492759885474854
86,contraceptives,0.4491494017566323
87,19,0.44869924994262816
88,depo,0.44690357588125235
89,proxy server,0.4424463526635177
90,nappendix,0.4373129348964409
91,autopsy,0.43656204820453703
92,nback,0.43432686587450664
93,circumcision,0.434153080777008
94,device iud,0.43174284608720254
