,feature_names,feature_weights
0,iud,3.4486134787583276
1,contracept,2.758570580780341
2,birth,2.277838209295444
3,condom,1.8542071584211175
4,pid,1.7819650030113594
5,ca,1.620932639862974
6,women,1.5691640797674495
7,use,1.5626677586556825
8,control,1.4830821718987335
9,shot,1.4479810965704532
10,locat,1.2541335964751674
11,symptom,1.1802284027843837
12,implant,1.1784701726455384
13,method,1.1286492023367978
14,ste,1.1286098287455988
15,bleed,1.1142330294961296
16,diaphragm,1.1020537316591836
17,larc,1.0488899392266464
18,pregnanc,1.027044551822189
19,insert,1.0156859285292381
20,intrauterin,1.0035051450484584
21,inform,1.0008836913277557
22,devic,0.9974770292467219
23,newslett,0.968785180053535
24,cdc,0.9613645612207241
25,nlearn,0.9482334577123207
26,provera,0.9403294013893788
27,hormon,0.9355120445879539
28,uteru,0.9054881037658268
29,biopsi,0.9042523863812385
30,network,0.9009147434584157
31,ncheck,0.8937002771089706
32,problem,0.8782371857382222
33,arthriti,0.8736418367023912
34,pill,0.8523488189331699
35,member,0.8188880645277314
36,treatment,0.8121808622427213
37,period,0.8094442220783366
38,diseas,0.8071664265844435
39,educ,0.804984039296037
40,pelvic,0.7934555084421033
41,paragard,0.7916056401629707
42,offic,0.7849889399237435
43,femal,0.7811223787857675
44,covid,0.7800504028531582
45,syndrom,0.7768727597672057
46,cancer,0.7627556195945056
47,ga,0.7517026505870069
48,steril,0.7387356626189165
49,nback,0.7361367673013262
50,mirena,0.7360809128033768
51,blood,0.7122000868452396
52,mec,0.7107786790098747
53,action,0.7033993212953773
54,sexual,0.6864005447504561
55,research,0.6779538586607313
56,greater,0.6719420612370027
57,york,0.6574225729749912
58,american,0.656988742595024
59,program,0.6492771203614564
60,inflamm,0.6425964857983862
61,mayo,0.6361511361684081
62,risk,0.6289650307873164
63,care,0.6284750954995445
64,child,0.627701741637597
65,vaccin,0.6274726483658253
66,pregnant,0.6247651471812331
67,uterin,0.6151370006110265
68,hpv,0.5911731966511494
69,npatient,0.5850868360766356
70,effect,0.5804525226365913
71,nnation,0.571980092391109
72,peopl,0.562353937159907
73,question,0.5567316475946706
74,menstrual,0.5541805989874564
75,woman,0.5504051503366545
76,parenthood,0.5503987540729376
77,depo,0.5477391807566846
78,diabet,0.543286615917066
79,tumor,0.5427522988315975
80,xe,0.5379287245054434
81,coronaviru,0.5258944372480592
82,peni,0.521455647266205
83,tube,0.5192543729273189
84,caus,0.5157164934561292
85,increas,0.5154552041097562
86,housecal,0.5154414686072493
87,help,0.5144446301030478
88,tubal,0.5112271688274629
89,string,0.5056483965583023
90,sex,0.5042159324298637
91,nfree,0.5033698124735889
92,websit,0.5018621192715237
93,guidanc,0.5017267498604073
94,nfind,0.49876091517143334
95,spr,0.4984852395006089
96,commun,0.49645378950110647
97,healthi,0.490622617884403
98,vagina,0.48956702150124015
99,throat,0.486540365505231
100,begin,0.48575371684865887
101,person,0.4751708071943372
102,fallopian,0.47002689897882355
103,wide,0.4676338304675993
104,rd,0.4667840268441304
105,cervic,0.4659815422105215
106,xb,0.4614182519712264
107,nget,0.45506108402922224
108,directori,0.45425302988862876
109,pdf,0.44413930872971774
110,test,0.44156050136402253
111,ngo,0.4411395502100469
112,nabort,0.4409862669263664
113,need,0.4374142776994731
114,inflammatori,0.43416729342374494
115,abort,0.4320981188527585
116,criteria,0.431754756622302
117,obes,0.4316136928496549
118,gland,0.4316052470372419
119,florida,0.43145715587223693
120,bodi,0.42954917323742653
121,form,0.4279804030185137
122,month,0.42718420421156506
123,chronic,0.4271362233823997
124,heart,0.42654571893297166
125,nerv,0.42269692705555584
126,collect,0.42253403136125656
127,ntake,0.4223638606970158
128,public,0.41960600023728883
129,servic,0.4160923756767658
130,nand,0.41496302946904595
131,target,0.4133745241007062
132,sperm,0.41273990080270667
133,color,0.4126997096175757
134,viru,0.4118381308491974
135,donat,0.41095648692589776
136,archiv,0.4103409913618108
137,screen,0.40982727612866526
138,xa,0.4063625632325099
139,placement,0.40572557804489073
140,nhealth,0.40520368044386584
141,niud,0.40404478512794306
142,physic,0.40402442934565386
143,liver,0.4033901077894626
144,brain,0.4029959168894478
145,elig,0.4022776551026416
146,sign,0.40079047249914257
147,asha,0.39970895697961645
148,weight,0.39930299557648524
149,student,0.398161206821992
150,address,0.3958824536217214
151,injuri,0.39372073453785983
152,team,0.3920767418694569
153,safeti,0.3920407186732555
154,pressur,0.39080904586104614
155,cycl,0.38980323087732555
156,becom,0.3884936764075003
157,articl,0.3882927380998238
158,ask,0.3826679311015728
159,comment,0.37815907303342877
160,varieti,0.37006667100467905
161,copper,0.3670312285386591
162,ligat,0.3617074813674387
163,contain,0.3595751791174043
164,area,0.35942609669445597
165,immun,0.3585168164178829
166,portal,0.35828613352359984
167,egg,0.3582259660581325
168,nour,0.3574223042907282
169,tissu,0.3554476641367844
170,doe,0.3542042056556419
171,ha,0.35244226790897376
172,medic,0.35150751234159616
173,affect,0.3509801081970599
174,contribut,0.3506981976829874
175,nthi,0.35064934748229176
176,special,0.3483707466801176
177,progestin,0.34721992292639114
178,famili,0.3457975950806598
179,http,0.34479620657310506
