,feature_names,feature_weights
0,iud,3.6108356530498193
1,contracept,3.0520274821348994
2,birth,2.7851229733488245
3,condom,2.1263668990666185
4,use,2.0762989978408988
5,locat,2.0252408496395518
6,control,1.8395528274290573
7,women,1.7651595513205327
8,offic,1.4058232647696813
9,pelvic,1.2221372203180807
10,implant,1.2105103739383458
11,intrauterin,1.196751012515995
12,method,1.1796161451834084
13,pregnanc,1.1707468054550243
14,symptom,1.1706239603499686
15,insert,1.1700207927031663
16,newslett,1.1484267689152239
17,inform,1.1308359849395682
18,devic,1.1293891590508613
19,nlearn,1.1239696099094716
20,bleed,1.090210181582732
21,uteru,1.056613922847392
22,hormon,0.9894802766955313
23,cdc,0.9509526935326489
24,problem,0.9456390113030029
25,period,0.93300055608718
26,diseas,0.9252788853554015
27,educ,0.9092610144050236
28,treatment,0.9083059409093656
29,syndrom,0.8943008101505322
30,pill,0.8906608975274423
31,cancer,0.883983585581648
32,steril,0.8642221977314053
33,femal,0.8386974277062573
34,blood,0.830844923409739
35,sexual,0.8141029599900206
36,action,0.8061977404982404
37,research,0.7845319539556127
38,tube,0.7602369781681186
39,vaccin,0.7389321949075894
40,directori,0.7354841505751293
41,risk,0.7323216921765733
42,pregnant,0.7319796146812371
43,ngo,0.7259286230619328
44,american,0.7258471905133438
45,npatient,0.7105895527138547
46,sti,0.6995819728186137
47,program,0.6896175411360462
48,xa,0.6864248580834318
49,sex,0.6769663518249115
50,menstrual,0.6768063581422537
51,question,0.6739796121239715
52,hpv,0.6626704485189567
53,coronaviru,0.6610756078892175
54,woman,0.6609977946611051
55,increas,0.6502613476442644
56,uterin,0.6492953085789316
57,care,0.646420363606128
58,nif,0.6376187458480657
59,peopl,0.6375103678121401
60,help,0.6372651365893918
61,healthi,0.6300681637501576
62,set,0.6260768966398947
63,inflammatori,0.6228626493754628
64,mayo,0.6118087149222433
65,form,0.5992781687089979
66,xe,0.5974482862549335
67,bodi,0.5606162942126514
68,effect,0.559722051795364
69,nabort,0.5510816753116023
70,brain,0.5497260211033239
71,recommend,0.5438590644639077
72,provid,0.5383243881394096
73,person,0.5379222543980003
74,commun,0.5326654766816861
75,month,0.5321907131678146
76,safeti,0.5239354104133706
77,abort,0.5209137958396765
78,viru,0.5165413249370441
79,heart,0.5102853640568693
80,nfind,0.509909359407972
81,websit,0.5083665102733737
82,need,0.5072336466516375
83,http,0.5034955268849881
84,chronic,0.49948514650304743
85,screen,0.49939077585769287
86,physic,0.49584424881472644
87,public,0.4916175371242894
88,vagin,0.4869243152785823
89,nthi,0.4830507169992636
90,affect,0.48018678377811075
91,cervic,0.476241510615312
92,ask,0.47619586320968454
93,parenthood,0.47404683975166995
94,activ,0.4735761470924318
95,nour,0.4722365034785545
96,sign,0.47014617749610377
97,sperm,0.4681460252827066
98,know,0.46766485057273804
99,contain,0.4666667162027533
100,nhealth,0.4655847921549564
101,becom,0.4630028064740899
102,xb,0.46258718398902177
103,cycl,0.4619277130588772
