,feature_names,feature_weights
0,iud,3.221607997491074
1,birth,2.732590699058865
2,contraceptive,2.44700963450254
3,women,1.8255763284159023
4,control,1.7672870984241535
5,condoms,1.6202315207813096
6,locations,1.5914757148440166
7,office,1.5550795598430354
8,use,1.5449266251873395
9,n1,1.3045375582985304
10,intrauterine,1.1956800756828123
11,device,1.1610182582461397
12,pregnancy,1.1391289122388812
13,iuds,1.1388333986776975
14,pelvic,1.138531790635227
15,provera,1.119189768026068
16,uterus,1.0719048293326063
17,bleeding,1.066488446362826
18,nlearn,1.0389258228927793
19,information,1.0319339287455673
20,implant,1.0257353075551114
21,contraception,1.0081231603891816
22,symptoms,0.9893869250762761
23,ncheck,0.9669259644065205
24,condom,0.9630005976627558
25,location,0.945981190348426
26,methods,0.9373562241573923
27,research,0.9199947923370424
28,syndrome,0.918901236579172
29,sexual,0.9181798360050583
30,female,0.8997943184188976
31,provider,0.8827363591811911
32,cancer,0.8741020201807402
33,mirena,0.8629565880559128
34,blood,0.856264645245247
35,members,0.8517929822246391
36,child,0.8495497309656207
37,hormonal,0.8470076186248211
38,sterilization,0.8440230446237075
39,using,0.8382306861377435
40,x99t,0.8371329481603278
41,disease,0.8298447770054844
42,cdc,0.8176680478288713
43,periods,0.8145956247525556
44,problems,0.8087331870607662
45,n2,0.8074666248190823
46,npatient,0.7982250118252066
47,mayo,0.7933603246891284
48,inflammation,0.782404800472849
49,xc3,0.7779124173152262
50,inserted,0.77666435854407
51,sex,0.7617016473269262
52,19,0.7382496540588035
53,greater,0.7341558848471127
54,vagina,0.732623939240341
55,pregnant,0.729997572528795
56,action,0.7290580365898884
57,treatment,0.7189522761047611
58,effective,0.7075743267364873
59,hpv,0.6880978788330468
60,settings,0.681609411779346
61,symptom,0.6812283280201881
62,fallopian,0.6782605931386944
63,nnational,0.6713930735559444
64,tubes,0.6682151193391073
65,risk,0.6671177836764188
66,woman,0.6645103079202415
67,causes,0.6638242505083493
68,people,0.6465311287283879
69,pills,0.6435007043262119
70,inflammatory,0.6393304145420722
71,ngo,0.633086510508101
72,directory,0.6239550799881842
73,tubal,0.6188945482963096
74,menstrual,0.6107401613555705
75,care,0.6043282248932422
76,american,0.6036464845811151
77,contraceptives,0.6011749851113445
78,brain,0.6006129268855323
79,guidance,0.5952389303700539
80,questions,0.5942367835086507
81,implants,0.5887716974161619
82,healthy,0.580606150200669
83,planning,0.5796809379972444
84,help,0.5793546936008076
85,uterine,0.5763544970665261
86,method,0.5750595898922826
87,body,0.5703043414073391
88,nfree,0.5695839643382313
89,education,0.5661156393409285
90,diabetes,0.5657638345440786
91,nfind,0.5628879941000412
92,xc2,0.5588104791553176
93,stis,0.5536590924650059
94,sperm,0.5466679328829797
95,x9d,0.5380771854534268
96,coronavirus,0.53776913049457
97,2016,0.5372415839345931
98,wide,0.5304890045803117
99,association,0.5299350274399044
100,chronic,0.5272951803192066
101,virus,0.5233117330548345
102,form,0.5183969328663085
103,program,0.5129208039817329
104,search,0.5041444201611264
105,getting,0.5027995938795958
106,xa6,0.5011620023484517
107,website,0.49883753842034395
108,medications,0.49865081775752945
109,criteria,0.49853277166729676
110,planned,0.49590172238786445
111,parenthood,0.494380679571644
112,month,0.4893805648497314
113,asha,0.4846457550228309
114,nif,0.4839682123478424
115,niud,0.48254543494316393
116,recommendations,0.4821228922356695
117,2019,0.4818788486731084
118,male,0.48138521859634226
119,heart,0.47978126344001853
120,needs,0.47918672095606774
121,cervical,0.47743471340846083
122,address,0.475015559682186
