,feature_names,feature_weights
0,iud,2.94490715679174
1,birth,2.279055889526898
2,contraceptive,2.078839881941142
3,ca,1.753951198839817
4,women,1.7240580869211566
5,pid,1.5445184777495793
6,control,1.5414703746631806
7,shot,1.4129691684183903
8,n1,1.3929249828741697
9,condoms,1.22465930041103
10,use,1.181661648421983
11,iuds,1.1415585089050275
12,larc,1.1128665793145855
13,locations,1.0917140734715902
14,ste,1.0874248651803637
15,office,1.0704674181914078
16,proxy,1.0698311556177977
17,bleeding,1.064041856931101
18,device,1.0612114891539297
19,diaphragm,1.058216788933145
20,implant,1.0163626215191566
21,pregnancy,1.0120356858070814
22,intrauterine,0.993279711565229
23,provera,0.8940264950810035
24,uterus,0.8899128708570094
25,nlearn,0.8793553857821079
26,paragard,0.861153803427401
27,methods,0.8554115600624178
28,contraception,0.8504561501138593
29,n2,0.8409825849511549
30,condom,0.8320714154292067
31,ga,0.7999652249981855
32,newsletter,0.7877934667396097
33,military,0.7729822671511553
34,hormonal,0.7618271452262417
35,mirena,0.7613259865707473
36,arthritis,0.7484200939860144
37,server,0.7459240987018068
38,female,0.7442624216649092
39,npatient,0.7396596300456716
40,biopsy,0.7379482770027039
41,symptoms,0.7359010684331979
42,pelvic,0.7326243559261859
43,sterilization,0.7315192702759554
44,xe2,0.7296532959252088
45,covid,0.7125765369546644
46,provider,0.7065871708950155
47,location,0.676343639973943
48,information,0.6746689331375327
49,inserted,0.6744520489657186
50,child,0.6718296990795807
51,cancer,0.6676023418762623
52,nback,0.6644700476981528
53,x80,0.6545127786285347
54,ok,0.6536801080118119
55,x99t,0.6384132353812038
56,xc2,0.6339242772095012
57,periods,0.6339180903232267
58,using,0.6312111691705302
59,blood,0.6171957586310001
60,19,0.615628286551988
61,melatonin,0.6141313744727457
62,mec,0.612686389888835
63,research,0.6078624856938004
64,effective,0.6047477932918354
65,letter,0.6032021242605167
66,pregnant,0.6027433442978228
67,problems,0.6012739001479824
68,woman,0.5988195401736803
69,risk,0.5972726368854102
70,pills,0.5845629053770205
71,sexual,0.5750347994986577
72,members,0.5709826234697635
73,syndrome,0.5647064665453645
74,method,0.562752428300387
75,uterine,0.5485929293417644
76,circumcision,0.5484131576496474
77,neuropathy,0.5483119430402538
78,sex,0.5479685231795287
79,depo,0.5453319513586702
80,compartment,0.5412011260904022
81,nmirena,0.5408353084323708
82,contraceptives,0.5398723748301324
83,greater,0.5386913521128823
84,prediabetes,0.537569514947696
85,nappendix,0.5345502360241008
86,heel,0.5283531684477253
87,labyrinthitis,0.5261385846043319
88,menstrual,0.52299179672441
89,action,0.5220608538842237
90,colposcopy,0.5183522063057822
91,autopsy,0.5162806365195598
92,bv,0.5092780718700879
93,york,0.5070400390313682
94,tubal,0.5046355849971269
95,implants,0.5037579320945548
96,ncheck,0.495166156992323
97,treatment,0.4862764120684439
98,websiteiud,0.48420573748678336
99,sperm,0.4830623287023424
100,network,0.48260341683381686
101,pdf,0.48191031851113075
102,mayo,0.4751175381074517
103,disease,0.47419256102908447
104,tubes,0.4685729496383201
105,xae,0.46709194893425826
106,rd,0.46455564499780716
107,planning,0.4640703925683905
108,vagina,0.463348541767219
109,nstart,0.46178005214416007
110,pill,0.461043349348186
111,x9d,0.45847735119523914
